key,smiles,HOMO_exp,LUMO_exp,HOMO_calc,LUMO_calc
d4,O=C1N(C(C2=CC=C(C(C=C3)=CC=C3N(C4=CC=C(C(S5)=CC=C5C(N6C)=C(C(C6=O)=C(N7C)C8=CC=CS8)C7=O)C=C4)C9=CC=C(C(S%10)=CC=C%10C(N%11C)=C(C(C%11=O)=C(N%12C)C%13=CC=CS%13)C%12=O)C=C9)S2)=C%14C1=C(C%15=CC=CS%15)N(C%14=O)C)C,-5.26,-3.26,-4.9251,-2.9116
f1,CC#CC1=C(C=C(C=CC=C2)C2=C3)C3=C(C#CC)C4=CC5=CC(C#N)=CC=C5C=C41,-5.29,-3.5,-5.1157,-3.347
f4,O=C(N(C)C)C1=CC2=C(S1)C=C3C(C(C#CC)=C(C=C(C=C(C(N(C)C)=O)S4)C4=C5)C5=C3C#CC)=C2,-5.34,-3.21,-5.0612,-2.9116
f5,CN1C2=C(C=CC=C2)/C(C(C1=C3)=CC4=C3/C(C5=CC=CC=C5N4C)=C(C#N)\C#N)=C(C#N)\C#N,-5.9,-4.1,-5.9056,-3.5366
f6,CC1(C)C2=C(C=CC(C3=CC=C(/C=C4C(C(C=CC=C5)=C5C\4=O)=O)S3)=C2)C6=C1C=C(C7=CC=C(/C=C8C(C(C=CC=C9)=C9C\8=O)=O)S7)C=C6,-5.95,-3.95,-5.7245,-3.1548
1,CSC1=C2C(C=C(C=CC=C3)C3=C2)=C(SC)C4=CC5=CC=CC=C5C=C41,-5.0700745250712,-3.2600479263974,-4.954294834489,-2.9126898066708
2,CCC1=CC=CC(CC)=C1C2=C3C(C=C(C=CC=C4)C4=C3)=C(C5=C(CC)C=CC=C5CC)C6=CC7=CC=CC=C7C=C62,-5.0300739303396,-2.9900439527762,-4.7703776894612,-2.7075490213674
3,C[Si](C)(C)C#CC1=C(C=C(C=CC=C2)C2=C3)C3=C(C#C[Si](C)(C)C)C4=CC5=CC=CC=C5C=C41,-5.1100751198028,-3.4200502781124,-4.831266652809,-3.0215754074288
4,CC1=CC=CC(C)=C1C2=C3C(C=C(C(C4=C(C)C=CC=C4C)=C(C=CC=C5)C5=C6C7=C(C)C=CC=C7C)C6=C3)=C(C8=C(C)C=CC=C8C)C9=CC=CC=C92,-4.9500727680878,-2.9300430606788,-4.736523632973,-2.72214001895
5,CC1=CC=CC(C)=C1C2=C3C(C=C(C=CC=C4)C4=C3)=C(C5=C(C)C=CC=C5C)C6=CC7=CC=CC=C7C=C62,-5.0100736601852,-3.0000440878534,-4.790966433352,-2.72214001895
6,CC1=CC2=CC3=C(C4=CC=CC=C4)C5=CC6=CC(C)=C(C)C=C6C=C5C(C7=CC=CC=C7)=C3C=C2C=C1C,-4.8600714435474,-2.9700436554104,-4.5459738180408,-2.449926017055
7,C12=CC=CC=C1C(C3=CC=CC=C3)=C4C(C=C(C(C5=CC=CC=C5)=C(C=CC=C6)C6=C7C8=CC=CC=C8)C7=C4)=C2C9=CC=CC=C9,-4.9500727680878,-3.0700451422394,-4.682080832594,-2.613254418192
8,COC(C=C1)=CC=C1C2=C3C(C=C(C=C(C)S4)C4=C3)=C(C5=CC=C(OC)C=C5)C6=CC7=C(C=C(C)S7)C=C62,-5.0200737952624,-2.6400388169032,-4.6674397660354,-2.014383614023
9,COC(C=C1)=CC=C1C2=C3C(C=CC=C3)=C(C4=CC=C(OC)C=C4)C5=CC=CC=C52,-5.5600817425048,-2.4400358704566,-5.226508836384,-1.851055212886
