key,name,donor,smiles,HOMO_calc,LUMO_calc,PCE_exp,Source,HOMO_calib,LUMO_calib,PCE_calc,PCE_calib,molW,PCE_calib_plus,PCE_calib_plus_std
11,11,P3HT,Cn1c(=O)c2c(-c3cccs3)c3c4cccc5c(C#N)ccc(c3c(-c3cccs3)c2c1=O)c54,-6.4957,-3.2653,2.25,,-6.275567529,-3.510294768,0.600258462,1.718246772,474.566,1.95871047,1.296992983
12,12,P3HT,Cn1c(=O)c2c(-c3ccc4ccccc4c3)c3c4cccc5c(C#N)ccc(c3c(-c3ccc6ccccc6c3)c2c1=O)c54,-6.1755,-3.1967,2.58,,-6.126137494,-3.437744632,1.276996318,2.217139532,562.628,2.080910876,1.285960869
13,13,P3HT,CC1(C)c2ccccc2-c2ccc(-c3ccc(C=C(C#N)C#N)c4nsnc34)cc21,-6.1711,-3.663,0.73,,-6.215907732,-3.648843919,2.689413129,2.406215498,404.498,1.998418839,1.303186164
14,14,P3HT,CN1C(=O)c2ccc(C=Cc3ccc(C=Cc4ccc5c(c4)C(=O)N(C)C5=O)c4nsnc34)cc2C1=O,-5.9171,-3.4606,2.54,,-5.803657868,-3.344008597,3.54007776,3.87309586,506.543,1.788842651,1.288912906
15,15,P3HT,CN1C(=O)c2cccc3c(C=Cc4ccc(C=Cc5ccc6c7c(cccc57)C(=O)N(C)C6=O)c5nsnc45)ccc(c23)C1=O,-5.8699,-3.6069,0.12,,-5.724626826,-3.402223611,4.410983593,4.723108626,606.663,1.915011282,1.282774702
16,16,P3HT,Cc1csc(-c2c(-c3ccc4nsnc4c3)cc(-c3ccc(N(c4ccc(-c5sc(-c6c(-c7ccc8nsnc8c7)ccc7nsnc67)cc5C)cc4)c4ccc(-c5cc(-c6ccc7nsnc7c6)c(-c6cc(C)cs6)c6nsnc56)cc4)cc3)c3nsnc23)c1,-5.0992,-2.9447,0.81,,-5.426682689,-3.100829525,0,5.819997906,1338.765,3.534005777,1.329127008
17,17,P3HT,CN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)[Si](C)(C)c4cc(-c6ccc(C7=C8C(=O)N(C)C(c9cccs9)=C8C(=O)N7C)s6)ccc4-5)s3)N(C)C(=O)C2=C1c1cccs1,-4.9672,-2.9744,2.05,,-5.240346589,-3.316676918,0,0,863.156,1.798461556,1.323524011
18,18,P3HT,CN1C(=O)C2=C(c3ccc(-c4ccc(N(c5ccc(-c6ccc(C7=C8C(=O)N(C)C(c9cccs9)=C8C(=O)N7C)s6)cc5)c5ccc(-c6ccc(C7=C8C(=O)N(C)C(c9cccs9)=C8C(=O)N7C)s6)cc5)cc4)s3)N(C)C(=O)C2=C1c1cccs1,-4.9251,-2.9116,1.2,,-5.184842314,-3.249983109,0,0,1224.531,2.313283372,1.414685979
19,19,P3HT,CC#Cc1c2cc3ccccc3cc2c(C#CC)c2cc3cc(C#N)ccc3cc12,-5.1157,-3.347,1.29,,-5.289444569,-3.521213147,0,0,379.462,1.513016791,1.380798543
20,20,P3HT,CC#Cc1c2cc3cc(C(=O)N(C)C)sc3cc2c(C#CC)c2cc3sc(C(=O)N(C)C)cc3cc12,-5.0612,-2.9116,0.8,,-5.326450424,-3.21216156,0,7.698710399,508.668,1.433790069,1.362069571
21,21,P3HT,CN1c2ccccc2C(=C(C#N)C#N)c2cc3c(cc21)C(=C(C#N)C#N)c1ccccc1N3C,-5.9056,-3.5366,1.57,,-5.901051714,-4.063380432,3.912061233,5.010246825,436.478,1.442350849,1.309239501
